0.008 2.5400  2925.53
0.008 2.6000  2946.62
0.008 2.6600  2959.49
0.008 2.7200  2973.48
0.008 2.7800  2970.24
0.008 2.8400  2989.51
0.008 2.9000  3050.80
0.008 2.9600  3110.48
0.008 3.0200  3161.24
0.008 3.0800  3192.94
0.008 3.1400  3224.58
0.008 3.2000  3248.84
0.008 3.2600  3254.08
0.008 3.3200  3267.60
0.008 3.3800  3528.70
0.008 3.4400  3273.47
0.008 3.5000  3336.29
0.008 3.5600  3378.98
0.008 3.6200  3429.26
0.008 3.6800  3464.85
0.008 3.7400  3483.35
0.008 3.8000  3513.76
0.008 3.8600  3524.10
0.008 3.9200  3531.40
0.008 3.9800  3538.20
0.008 4.0400  3524.67
0.008 4.1000  3577.74
0.008 4.1600  3626.32
0.008 4.2200  3664.01
0.008 4.2800  3707.28
0.008 4.3400  3729.20
0.008 4.4000  3756.02
0.008 4.4600  3773.89
0.008 4.5200  3776.80
0.008 4.5800  3791.61
0.008 4.6400  3784.48
0.008 4.7000  3790.97
0.008 4.7600  3847.30
0.008 4.8200  3881.04
0.008 4.8800  3926.94
0.008 4.9400  3956.12
0.008 5.0000  3977.31
0.008 5.0600  4002.93
0.008 5.1200  4005.33
0.008 5.1800  4024.79
0.008 5.2400  4024.34
0.008 5.3000  4025.21
0.008 5.3600  4041.06
0.008 5.4200  4082.33
0.008 5.4800  4121.75
0.008 5.5400  4159.20
0.008 5.6000  4175.77
0.008 5.6600  4210.24
0.008 5.7200  4220.34
0.008 5.7800  4238.14
0.008 5.8400  4245.75
0.008 5.9000  4245.77
0.008 5.9600  4251.34
0.008 6.0200  4261.96
0.008 6.0800  4296.08
0.008 6.1400  4343.09
0.008 6.2000  4364.74
0.008 6.2600  4400.11
0.008 6.3200  4418.84
0.008 6.3800  4435.12
0.008 6.4400  4451.44
0.008 6.5000  4450.50
0.008 6.5600  4464.76
0.008 6.6200  4452.64
0.008 6.6800  4461.11
0.008 6.7400  4508.41
0.008 6.8000  4538.83
0.008 6.8600  4571.68
0.008 6.9200  4599.31
0.008 6.9800  4613.91
0.008 7.0400  4639.22
0.008 7.1000  4637.18
0.008 7.1600  4660.47
0.008 7.2200  4656.27
0.008 7.2800  4665.08
0.008 7.3400  4658.96
0.008 7.4000  4693.86
0.008 7.4600  4724.33
0.008 7.5200  4761.62
0.008 7.5800  4774.62
0.008 7.6400  4809.72
0.008 7.7000  4816.44
0.008 7.7600  4839.74
0.008 7.8200  4844.33
0.008 7.8800  4853.35
0.008 7.9400  4856.02
0.008 8.0000  4852.31

0.010 2.0000  2581.19
0.010 2.0600  2606.13
0.010 2.1200  2669.97
0.010 2.1800  3194.89
0.010 2.2400  2783.33
0.010 2.3000  2682.90
0.010 2.3600  2749.76
0.010 2.4200  2798.84
0.010 2.4800  2846.17
0.010 2.5400  2883.97
0.010 2.6000  2904.68
0.010 2.6600  2920.29
0.010 2.7200  2933.92
0.010 2.7800  2930.60
0.010 2.8400  2935.72
0.010 2.9000  2995.96
0.010 2.9600  3058.89
0.010 3.0200  3108.68
0.010 3.0800  3139.78
0.010 3.1400  3174.48
